Restaurant ID,Restaurant,Address,Locality,Cuisines,Average Cost for two,Rating,Rating text,Votes
18287358,Food Cloud,"Aaya Nagar, New Delhi",Aaya Nagar,Cuisine Varies,500,1,Not rated,2
18216944,Burger.in,"84, Near Honda Showroom, Adchini, New Delhi",Adchini,Fast Food,350,3,Average,46
313333,Days of the Raj,"81/3, 1st Floor, Qutub Residency, Adchini, New Delhi",Adchini,"North Indian, Seafood, Continental",1500,3,Average,45
18384127,Dilli Ka Dhaba,"66 A, Ground Floor, Sri Aurobindo Marg, Adchini, New Delhi",Adchini,"South Indian, North Indian",500,3,Average,11
582,Govardhan,"84, Adjacent Hero Motor Bike Showroom, Main Mehrauli Road, Adchini, New Delhi",Adchini,"South Indian, North Indian, Chinese",500,3,Average,238
18414465,Mezbaan Grills,"A- 96, Shri Aurbindo Marg, Adchini, New Delhi",Adchini,Mughlai,400,3,Average,8
304243,Say Cheese,"88/3, Adchini, New Delhi",Adchini,Fast Food,400,3,Average,64
3554,Southy,"88/4, Adchini, New Delhi",Adchini,South Indian,450,3,Average,113
18369872,Monosoz,"Sri Aurobindo Marg, Adchini, New Delhi",Adchini,Pizza,300,4,Good,66
948,Waves,"A-4, Sarvodaya Enclave, Adchini, New Delhi",Adchini,"North Indian, Chinese",1500,4,Good,141
2853,Delhi Darbar,"84, Main Road, Adchini, New Delhi",Adchini,"Chinese, North Indian",500,2,Poor,77
18433900,Chateau,"84, Aurobindo Marg, Adchini, New Delhi",Adchini,"Mediterranean, Italian",1600,4,Very Good,40
18425159,Nariyal Cafe,"A-4, 3rd Foor, Adchini, New Delhi",Adchini,"Continental, Seafood, Goan, Andhra, Kerala, Thai",1200,4,Very Good,46
310958,Rustom's Parsi Bhonu,"94-A/B, Adchini, New Delhi",Adchini,Parsi,1500,4,Very Good,665
18334443,BarShala,"Aditya Mall, Next to Cross River Mall, CBD, Karkardooma, New Delhi","Aditya Mega Mall, Karkardooma",Finger Food,600,3,Average,31
18255141,Chawla'sŒ_,"Shop SG 40, Aditya Mega Mall, Karkardooma, New Delhi","Aditya Mega Mall, Karkardooma","North Indian, Mughlai",800,3,Average,32
197,Domino's Pizza,"15/16/16-A, Plot 9-D, Aditya Mega Mall, Karkardooma, New Delhi","Aditya Mega Mall, Karkardooma","Pizza, Fast Food",700,3,Average,83
308235,Sultanat,"31-BC, Ground Floor, Aditya Mega Mall, Karkardooma, New Delhi","Aditya Mega Mall, Karkardooma","North Indian, Chinese, Continental",1000,4,Good,288
18258757,Bella Italia,"Ground Floor, MLCP, IGI Terminal 3, Aerocity, New Delhi",Aerocity,"Fast Food, Italian, Pizza",550,3,Average,33
307383,Clever Fox Cafe,"Red Fox Hotel, Asset 6, Aerocity Hospitality District, Near Aerocity, New Delhi",Aerocity,"North Indian, Continental, Chinese",900,3,Average,26
18386746,365 Naturals,"Multilevel Car Parking, Terminal 3, Aerocity, New Delhi",Aerocity,"Continental, North Indian, Fast Food, Street Food, South Indian",600,1,Not rated,2
18337885,Tpot,"Basement, MLCP Parking, Terminal 3, Aerocity, New Delhi",Aerocity,Cafe,800,1,Not rated,0
310491,4 on 44 Restaurant & Bar,"112, Aggarwal City Mall, Road 44, Near M2K Multiplex, Pitampura, New Delhi","Aggarwal City Mall, Pitampura","North Indian, Chinese",1000,3,Average,49
18337789,Rambhog,"Shop 31, Aggarwal City Mall, Near Chunmun Store, Rani Bagh, Pitampura, New Delhi","Aggarwal City Mall, Pitampura","Street Food, Mithai",200,3,Average,13
18222573,Selfie Lounge Restro & Bar,"214-215, 2nd Floor, Aggarwal City Mall, Pitampura, New Delhi","Aggarwal City Mall, Pitampura","North Indian, Chinese",1500,3,Average,64
3370,BTW,"G-71 & G-87, Aggarwal City Plaza, Mangalam Palace, Rohini, New Delhi","Aggarwal City Plaza, Rohini","Street Food, South Indian, Mithai",400,3,Average,167
307439,Chilli Pepper,"G-89-90, Near M2K Cinemas, Aggarwal City Plaza, Rohini, New Delhi","Aggarwal City Plaza, Rohini","North Indian, Chinese",900,3,Average,99
1078,Pizza Hut,"17, Mangalam Place, Aggarwal City Plaza, Rohini, New Delhi","Aggarwal City Plaza, Rohini","Italian, Pizza, Fast Food",1000,3,Average,125
9340,Puri Bakers,"G-97, Aggarwal City Plaza, Manglam Place, Rohini, New Delhi","Aggarwal City Plaza, Rohini","Bakery, Fast Food",300,4,Good,124
306761,Jaiveer Naan & Chaap,"Shop 95, Aggarwal City Plaza, Near M2K, Rohini, New Delhi","Aggarwal City Plaza, Rohini","North Indian, Fast Food",500,2,Poor,79
7580,Aggarwal's Sweets Paradise,"G-3, H/1, Alaknanda Shopping Complex, Alaknanda, New Delhi",Alaknanda,"Mithai, North Indian, South Indian, Street Food",400,3,Average,8
7584,Bikaner Sweets,"A-1/G3, Pushpa Bhawan, Alaknanda Market, Alaknanda, New Delhi",Alaknanda,"Mithai, Street Food",200,3,Average,20
7582,Cafe Coffee Day,"Nilgiri Market, Opposite Nilgiri Appartments, Alaknanda, New Delhi",Alaknanda,Cafe,450,3,Average,23
18351495,Cakeophony By Sonali,"Alaknanda, New Delhi",Alaknanda,Bakery,400,3,Average,19
7594,Chandra Sweets,"A-8, Alaknanda Shopping Complex, Near Tara Apartment, Alaknanda, New Delhi",Alaknanda,"Mithai, North Indian, South Indian, Street Food",400,3,Average,7
7583,Chhotu Mashhoor Kathi Roll,"Near Mother Dairy, Alaknanda Market, Alaknanda, New Delhi",Alaknanda,Fast Food,150,3,Average,11
7610,Green Chick Chop,"10 & 11, Narmada Market, Opposite Don Bosco School, Alaknanda, New Delhi",Alaknanda,"Raw Meats, North Indian, Fast Food",350,3,Average,35
18412603,Lazeez Restaurant,"J 15, Alaknanda Shopping Complex, Mini Market, Alaknanda, New Delhi",Alaknanda,"Chinese, North Indian, Italian, Mughlai",600,3,Average,11
7639,Madhuvan Chinese Fast Food,"Alaknanda Shopping Complex, Near Gangotri Complex Part B, Alaknanda, New Delhi",Alaknanda,Chinese,300,3,Average,32
18441545,Mr Wong,"Shop 4, Nilgiri Shopping Complex, Alaknanda, New Delhi",Alaknanda,"Chinese, Thai",800,3,Average,10
9971,Mughlai Shahi Rasoi,"B-13, DDA Shopping Complex, Alaknanda, New Delhi",Alaknanda,"North Indian, Mughlai",600,3,Average,23
